CustomerID,Recency,Frequency,Monetary,Target_Spend
12346,236,2,0.0,0.0
12347,40,5,2790.86,1519.14
12348,159,3,1487.24,310.0
12350,220,1,334.4,0.0
12352,172,8,601.1800000000001,944.23
12353,114,1,89.0,0.0
12354,142,1,1079.4,0.0
12355,124,1,459.4,0.0
12356,156,2,2753.08,58.349999999999994
12358,61,1,484.86,683.2
12359,100,4,3459.93,2785.6
12360,23,2,1618.28,1043.78
12361,197,1,189.9,0.0
12362,23,6,1724.55,3430.03
12363,20,2,552.0,0.0
12364,22,1,623.92,689.18
12365,201,3,320.69,0.0
12370,185,3,2806.41,739.28
12372,123,2,914.9200000000001,383.12
12373,221,1,364.6,0.0
12375,8,1,230.3,225.12
12377,225,2,1628.12,0.0
12378,40,1,4008.62,0.0
12379,66,2,457.89,392.40000000000003
12380,96,1,607.5500000000001,2113.01
12381,10,2,1227.39,576.57
12383,95,6,1839.31,0.0
12384,32,1,292.69,273.47
12386,248,2,401.9,0.0
12388,58,4,1668.3400000000001,1112.3200000000002
12393,156,3,1061.1000000000001,521.5
12394,127,1,381.08,891.4
12395,22,10,1881.77,1116.51
12397,45,1,1214.81,1195.09
12399,29,4,1108.65,0.0
12401,213,1,84.3,0.0
12402,233,1,225.6,0.0
12405,59,1,1710.39,0.0
12406,33,2,1486.7,1794.05
12407,44,4,1407.3600000000001,300.76
12408,9,7,2103.07,739.5
12409,27,2,6202.13,4854.8
12410,211,3,681.0799999999999,0.0
12412,48,2,890.74,336.14
12413,146,4,499.95000000000005,194.20000000000002
12414,127,3,562.41,0.0
12415,9,18,101335.53,22389.92
12417,17,9,2766.17,812.63
12418,23,1,668.58,0.0
12421,25,4,627.79,178.48
12422,6,3,803.5600000000001,0.0
12423,9,8,1640.47,208.64000000000001
12424,73,2,1760.96,0.0
12426,105,1,582.73,0.0
12427,262,2,246.55,461.82
12428,19,11,7468.860000000001,408.34000000000003
12429,83,3,2844.88,905.52
12431,29,14,4803.51,1612.88
12432,80,3,4016.66,1042.66
12433,1,3,6395.23,6980.64
12434,160,3,245.3,519.89
12435,178,1,3978.9900000000002,3850.9
12436,10,1,509.01,0.0
12437,8,12,2756.66,2140.0
12438,50,1,890.0699999999999,2016.78
12441,277,1,173.55,0.0
12444,32,2,2627.27,2378.19
12447,153,1,476.49,0.0
12449,2,3,2724.58,1342.71
12450,66,2,197.88,0.0
12451,57,3,5205.82,3727.7
12453,44,1,707.09,0.0
12455,38,5,2176.36,290.5
12456,19,3,2238.25,915.64
12457,39,6,832.6,1085.18
12458,195,1,441.92,505.48
